"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40010082,,"Stella Bella Little Stars Foundation","Stella Bella Little Stars Foundation","70 Lee-Steere Cres",KAMBAH,ACT,2902,20/01/2017,
PR-40025561,,"Bilingual Schools Australia Pty Ltd","Bilingual Schools Asutralia","1 boyland close",SPENCE,ACT,2615,04/05/2021,
PR-40025772,,"HAATH PTY LTD",,"44/2 Kings St",DEAKIN,ACT,2600,28/05/2021,
PR-40003028,,"Early Sun Shine Family Day Care Pty Ltd","Early Sun Shine Family Day Care Pty Ltd","U 5  22 Purdue St",BELCONNEN,ACT,2617,18/02/2015,
PR-00010085,,"CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","CATHOLIC EDUCATION ARCHDIOCESE OF CANBERRA  AND GOULBURN","PO BOX 3317",MANUKA,ACT,2603,24/10/2024,
PR-40022516,,"Kaleen Cubbyhouse Association Incorporated","Kaleen Cubby House","97 Alberga St",KALEEN,ACT,2617,21/02/2020,
PR-40030037,,"ARTEMIS EDUCATION PTY LTD","Artemis Early Learning","PO Box 6270",O'CONNOR,ACT,2602,20/07/2022,
PR-40030487,,"Happy Miracles Pty Ltd",,"10 Verreaux Cres",THROSBY,ACT,2914,02/11/2022,
PR-00009767,,"RAINBOW START PTY LTD",,"6 POWNALL ST",FRANKLIN,ACT,2913,11/10/2024,
PR-40012813,,"ZAP & CO PTY LTD","St Nicholas Preschool & Childcare Centre","Childcare Centre, 1 Hill Cnr",YARRALUMLA,ACT,2600,24/10/2017,
PR-40035415,,"IEL STREAM AVE PTY LTD","Insight Early Learning Stream Ave","1 Pademelon St",THROSBY,ACT,2914,21/11/2023,
PR-40027033,,"Wonderschool (Monash) Pty Ltd","Wonderschool (Monash) Pty Ltd","Building 2 Wonderschool, 54 McCaughey St",TURNER,ACT,2612,21/10/2021,
PR-40011902,,"BRIGHT BEES EARLY LEARNING (NICHOLLS) PTY LIMITED","BRIGHT BEES EARLY LEARNING (NICHOLLS) PTY LIMITED","U 145  2 Hinder St",GUNGAHLIN,ACT,2912,28/07/2017,
PR-40011921,,"SUCCESS EARLY LEARNING PTY LIMITED",,"PO Box 3553",MANUKA,ACT,2603,17/11/2017,
PR-40011926,,"Projects on Parkinson Ltd",,"PO Box 141",WARAMANGA,ACT,2611,20/06/2017,"Emma Morton is not to be a delegated as a Person with Management or Control, and must not have responsibility, alone or with others, for managing the delivery of the education and care service until further notice.  Emma Morton is not to be nominated as a Nominated Supervisor or be delegated as a Responsible Person in day-to-day charge for the education and care service, inclusive of being Centre Director until further notice."
PR-00010642,,"Munchkin Academy PTY LTD",,"4 KINLOCH CCT",BRUCE,ACT,2617,28/07/2025,
PR-00010720,,"CORYMBIA EDUCATION PTY LTD","Corymbia Early Learning Centre","THE GALLERY, UNIT 8 40 MORT ST",BRADDON,ACT,2612,15/07/2025,
PR-00010792,,"Elk Early Learning and Kindergarten Pty Ltd As Trustee For Elk Unit Trust","ELK Early Learning and Kindergarten","165 HEAGNEY CR",CHISHOLM,ACT,2905,04/08/2025,
PR-00005885,,"Woden Valley Child Care Centre Association Inc.","Woden Valley Child Care Centre Association Inc.","PO Box 1300",WODEN,ACT,2606,01/01/2012,
PR-00005888,,"Young Men's Christian Association of Canberra Ltd","Young Men's Christian Association of Canberra Ltd","U 6  25 Geils Ct",DEAKIN,ACT,2600,15/03/2012,
PR-40008971,,"Montessori Standard Pty Ltd",,"Eucalyptus Montessori, 84 Summerland Circuit",KAMBAH,ACT,2902,21/09/2016,
PR-40001919,,"CHABAD ACT LIMITED",,"3 Gari Place",GIRALANG,ACT,2617,28/04/2014,
PR-40001983,,"The Combined Spiritual Association of Canberra Incorporated",,"4 Conyers Street",HUGHES,ACT,2605,20/05/2014,
PR-40031561,,"Taylor Child Care Pty Ltd","Taylor Child Care","1 Corkery Cr",TAYLOR,ACT,2913,09/12/2022,
