"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40004723,,"Central Desert Regional Council","Central Desert Shire Council","PO Box 2257","ALICE SPRINGS,",NT,0871,31/07/2015,
PR-40001472,,"LIL'ANTZ PTY LTD","Lil' Antz Pty Ltd","PO Box 8003","ALICE SPRINGS",NT,0871,18/12/2013,
PR-40001509,,"Loumick (NT) Pty Ltd","La Creche On The Avenue","GPO Box 4432",DARWIN,NT,0801,18/02/2014,
PR-40015145,,"Forrest Parade School Council Incorporated",,"120 Flynn Cct",BELLAMACK,NT,0832,02/05/2018,
PR-40008112,,"Lilmina Wall","Little Footsteps Early Learning Centre","PO Box 43024",CASUARINA,NT,0811,06/07/2016,
PR-40010010,,"The Young Men's Christian Association of The Northern Territory Ltd",,"GPO Box 1451",DARWIN,NT,0801,23/02/2017,
PR-40010043,,"IOANNA KANELLI",,"12 Leitch St",MUIRHEAD,NT,0810,01/03/2017,
PR-40010674,,"Tiny Town Early Learning Centre Pty Ltd","Tiny Town Early Learning Centre Pty Ltd","13 Bloodwood Cct",KARAMA,NT,0812,03/03/2017,
PR-40025486,,"JAMS Muirhead Pty Ltd as trustee for JAMS Muirhead Unit trust","Happy Trails Early Learning Centre","15 Fuhrmann St",MUIRHEAD,NT,0810,14/05/2021,
PR-40002730,,"AWOF Education",,"PO Box 38671",WINNELLIE,NT,0821,12/01/2015,
PR-40002916,,"David Mabor Chadar","Bridge Family Day Care","13 Vrd Dr",LEANYER,NT,0812,04/03/2015,
PR-00010151,,"Catholic Church Diocese of Darwin Education Property Trust","Catholic Church Diocese of Darwin Education Property Trust","PO BOX 219",BERRIMAH,NT,0828,18/01/2025,
PR-40005297,,"Ngukurr Community Education Centre School Council","Ngukurr Community Education Centre School Council","c/o-Ngukurr School, PMB 138",KATHERINE,NT,0852,24/09/2015,
PR-40000573,,"Alyangula Daycare Incorporated","Alyangula Early Childhood Centre","PO Box 61",ALYANGULA,NT,0885,21/03/2013,
PR-40012633,,"CENTRAL AUSTRALIAN ABORIGINAL CONGRESS ABORIGINAL CORPORATION","CENTRAL AUSTRALIAN ABORIGINAL CONGRESS","PO Box 1604","ALICE SPRINGS",NT,0871,08/09/2017,
PR-00006740,,"Six Little Ducks Pty Ltd","Six Little Ducks Pty Ltd","6 Fitzpatrick Street","ALICE SPRINGS",NT,0870,24/04/2012,
PR-40011997,,"DRAGONFLY PLAY & LEARN PTY LTD","Dragonfly Play & Learn PTY LTD","144 LEANYER DR",LEANYER,NT,0812,08/09/2017,
PR-40012237,,"Dot Robin Pty Ltd",,"GPO Box 4432",DARWIN,NT,0801,30/08/2017,
PR-40023829,,"Zuccoli Primary School Council",,"PO Box 2222",PALMERSTON,NT,0831,25/11/2020,
PR-40023986,,"DURACK SCHOOL COUNCIL INC",,"Durack Primary School, 50 Woodlake Bvd",DURACK,NT,0830,25/11/2020,
PR-40024098,,"LITTLE PEOPLE OF NT PTY LTD","Lakehouse Children's Centre","6 Emerald Pl",DURACK,NT,0830,22/12/2020,
PR-00005976,,"Katherine East Child Care Centre Inc","Katherine East Child Care Centre","Po Box 1689",KATHERINE,NT,0851,01/07/2010,
PR-40008890,,"Reeya's Family Day Care","Reeya's Family Day Care","36 Spicer Crescent",ARALUEN,NT,0870,04/10/2016,
