"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00008289,,"Colleen Farawah","Fun Station Midland","31 Bromley Road","HERNE HILL",WA,6056,04/03/2014,
PR-00008293,,"J.A Milland & J.A Rodi ATF The Trustee for JA Frisina Family Trust & The Trustee for JA Rodi Family","Discovery Kids","11 Drakes Walk",SORRENTO,WA,6020,28/01/2014,
PR-00008296,,"WYLIE LEARNING AND DEVELOPMENT PTY LTD",,"19 Georgette Way",PREVELLY,WA,6285,03/04/2014,
PR-00008301,,"Maximal Enterprises Pty Ltd",,"84 McCourt Street",LEEDERVILLE,WA,6007,06/05/2014,
PR-00008816,,"RMMCL Group Pty Ltd","RMMCL Group Pty Ltd","PO Box 5530","CANNING VALE SOUTH",WA,6155,29/10/2014,
PR-00008825,,"Hadema Holdings Pty Ltd atf Hadema Unit Trust","Kids HQ","PO Box 2045","HIGH WYCOMBE",WA,6057,16/12/2014,
PR-00008832,,"Lee Germain",,"17 Alfred Close","SAFETY BAY",WA,6169,07/04/2015,
PR-00009067,,"Oberg Investments Pty Ltd ATF The Oberg Family Trust","Oberg Investments Pty Ltd ATF The Oberg Family Trust","22 Skylark Loop",ERSKINE,WA,6210,27/03/2015,
PR-00009075,,"Jenelle Marion Turnbull",,"14 Windchime Tce",ATWELL,WA,6164,13/05/2015,
PR-00009099,,"Rebecca Jane Van Der Kwast","Creating Calm","4 Blee Court",ROCKINGHAM,WA,6168,28/10/2015,
PR-00009204,,"Prendco Pty Ltd ATF M & S Prendergast Family Trust",,"69 Poincaire St",BALCATTA,WA,6021,14/01/2016,
PR-00009216,,"PLEBES PTY LTD ATF Little Treasures Trust",,"18 Kirkdale Avenue",FLOREAT,WA,6014,26/04/2016,
PR-00009224,,"Childrens Play and Learn Pty Ltd ATF CPL (WA) Unit Trust",,"PO Box 413","QUINNS ROCKS",WA,6030,28/06/2016,
PR-00009297,,"Growin Education Group Pty Ltd",,"Unit 3 Level 3, 100-104 Murray St",PERTH,WA,6000,13/07/2017,
PR-40033357,,"BEVERLY GROUP 3 PTY LTD","The Akidamy School of Early Learning - Fremantle","10 Beverley Street",COOLBINIA,WA,6050,29/06/2023,
PR-40033420,,"Evdomos Pty Ltd atf Evdomos Unit Trust","Evdomos Pty Ltd atf Evdomos Unit Trust","PO Box 145",Nedlands,WA,6009,28/09/2023,
PR-40033429,,"KENTROSAURUS PTY LTD",,"Se 13b  431 Roberts Rd",SUBIACO,WA,6008,20/07/2023,
PR-40033430,,"EUROPASAURUS PTY LTD",,"C/O UTOPIA CA PTY LTD, Suite B13,  431 Roberts Road, SUBIACO WA 6008",SUBIACO,WA,6008,20/07/2023,
PR-40033449,,"HIVE EDUCATION PTY LTD",,"33 PROSSER WAY",MYAREE,WA,6154,20/07/2023,
PR-40033526,,"Naran (WA) Pty Ltd",,"23 TOLEDO DR",HOCKING,WA,6065,23/11/2023,
PR-40033578,,"TIRAJ PTY LTD",,"39 PLUMOSA CRESCENT",DAYTON,WA,6055,14/09/2023,
PR-40033597,,"GD & KJ ENTERPRISES PTY LTD ATF Showie Family Trust","Exmouth Early Learning Centre","PO Box 1149",EXMOUTH,WA,6707,23/08/2023,
PR-40033599,,"Flourish Early Learning & Education Pty. Ltd.",,"335 Pier St",PERTH,WA,6000,24/08/2023,
PR-40033708,,"SPINOSAURUS PTY LTD",,"C/O UTOPIA CA PTY LTD, Suite B13, 431 Roberts Road, SUBIACO WA 6008",SUBIACO,WA,6008,27/07/2023,
PR-40033849,,"TREASURED TOTS EARLY EDUCATION BENNETT SPRINGS PTY LTD","Treasured Tots Early Education Bennett Springs","PO BOX 1691",MELVILLE,WA,6156,07/08/2023,
PR-40034031,,"Kritosaurus Pty Ltd",,"C/O UTOPIA CA PTY LTD, Suite B13, 431 Roberts Road, SUBIACO WA 6008",SUBIACO,WA,6008,04/09/2023,
PR-40034111,,"WA EARLY LEARNING PTY LTD",,"PO Box 423","MOUNT LAWLEY",WA,6929,07/09/2023,
PR-00011356,,"PEACOCK RIDER INVESTMENTS PTY LTD",,"18 SHAFTESBURY WAY",WELLARD,WA,6170,02/12/2025,
PR-00011467,,"CH & DS PTY LTD",,"17A BOLAS CT",MYAREE,WA,6154,07/11/2025,
PR-00011495,,"KALLAROO PLAY AND LEARN PTY LTD","Kallaroo Play and Learn Pty Ltd","Unit 45, 57 Joondalup Drive",EDGEWATER,WA,6027,18/12/2025,
PR-00011522,,"Mezzanine Nominees Pty Ltd atf Natureplay Early Learning Trust","None Registered","Unit 3, 7 Oakney Avenue",Nollamara,WA,6061,03/12/2025,
PR-00011539,,"ZEN FOR KIDS ELC PTY LTD","Zen for Kids","111 YORK ST",BEDFORD,WA,6052,18/12/2025,
PR-00011547,,"VIC PARK EARLY LEARNING PTY LTD","Vic Park Early Learning","184A SHEPPERTON RD","EAST VICTORIA PARK",WA,6101,12/12/2025,
PR-00011581,,"Panda Early Learning Centre Joondanna Pty Ltd","Panda Early Learning Centre Joondanna","78 RYRIE AV",COMO,WA,6152,23/12/2025,
PR-40000015,,"Rong Omar","Step By Step Family Day Care","2, 75 Honeywell Bvd",MIRRABOOKA,WA,6061,30/08/2012,
PR-40010025,,"VS INVESTMENT GROUP PTY LTD","VS INVESTMENT GROUP PTY LTD","9 Cheval Pl","CANNING VALE",WA,6155,17/02/2017,
PR-40010168,,"BMELC Pty Ltd","Bright Minds Early Learning Centre WA","PO BOX 2131",MARMION,WA,6020,04/05/2017,
PR-40010228,,"Alkimos School of Early Learning PTY LTD","Alkimos School of Early Learning","U 2/18 Niche Pde",WANGARA,WA,6065,07/04/2017,
PR-40010233,,"Timms Early Education PTY LTD","Tiny Timms Ealry Education Centre Singleton","49 Navigator Dr",SINGLETON,WA,6175,05/04/2017,
PR-40010553,,"EARLY START MANDARIN PTY. LTD.","EARLY START MANDARIN","L 2 553 Hay St",CRAWLEY,WA,6000,14/06/2017,
PR-40010643,,"Tenth Avenue Childcare Pty Ltd ATF Tenth Avenue Childcare Trust","Tenth Avenue Childcare Inglewood","53b Lancaster St",DIANELLA,WA,6059,03/05/2017,
PR-40010672,,"Inessence Pty Ltd ATF The Trustee for the Inessence Trust","L'Atelier for Children","26 Woodstock St","MOUNT HAWTHORN",WA,6016,07/06/2017,
PR-40025319,,"MELSD PTY LTD",,"PO Box 413","QUINNS ROCKS",WA,6030,17/03/2021,
PR-40025369,,"LITTLE SCHOOL EARLY LEARNING PTY LTD","Little School Early Learning","780 Great Northern Hwy","HERNE HILL",WA,6056,26/08/2021,
PR-40025588,,"EARLY LEARNING RITUALS PTY LTD","Early Learning Rituals","138 Bushmead Road",HAZELMERE,WA,6055,19/05/2021,
PR-40025830,,"Kinross Child Care Pty Ltd atf KINROSS CHILD CARE TRUST","Little Buckets Kinross","U 8  13 Hobsons Gte",CURRAMBINE,WA,6028,27/05/2021,
PR-40025834,,"Lettel Pty Ltd","It Takes A Village Family Day Care Service","150 Adelaide Tce","EAST PERTH",WA,6004,17/12/2021,
PR-00011125,,"MICABB PTY LTD",,"20 NOVARA WAY",STIRLING,WA,6021,05/11/2025,
PR-00011137,,"BILINGUAL BY FIVE HOLDINGS PTY LTD",,"UNIT 10 166 BRIGHTON RD",SCARBOROUGH,WA,6019,19/09/2025,
PR-00011155,,"GS GROUP WA PTY LTD",,"UNIT 13 268-272 WHARF ST","QUEENS PARK",WA,6107,21/11/2025,
PR-00011168,,"LITTLE BRIGHT EXPLORERS ATTADALE PTY LTD",,"11 KINTAIL RD",APPLECROSS,WA,6153,10/11/2025,
PR-00011231,,"BLUEBIRD HOMECARE PTY LTD",,"331 PARK ST",BRABHAM,WA,6055,02/10/2025,
PR-00011238,,"LOVARI EARLY LEARNING PTY LTD",,"56 BROMFIELD DR",KELMSCOTT,WA,6111,07/10/2025,
PR-00011241,,"N CHEMELLO HOLDINGS PTY LTD",,"UNIT 2 18 NICHE PDE",WANGARA,WA,6065,16/09/2025,
PR-00011258,,"Noah’s Ark Kindy and Early Learning Pty Ltd atf Noah’s Ark Family Trust","Noah's Ark Kindy and Early Learning","9 GALAH WAY",WANDI,WA,6167,24/11/2025,
PR-00011324,,"PEEL YOUTH SERVICES INCORPORATED","CHOYCES EARLY LEARNING CENTRE","PO BOX 117",MANDURAH,WA,6210,22/12/2025,
PR-40017962,,"BLUE GUM MONTESSORI SCHOOL INC.","Blue Gum Monstessori School","Blue Gum Montessori School, 11 Hope Rd","BIBRA LAKE",WA,6163,17/12/2018,
PR-40018139,,"5 SENSES PTY LTD",,"908 BEAUFORT ST",INGLEWOOD,WA,6052,18/12/2018,
PR-40018167,,"KINDLEY HOLDINGS PTY LTD","FICA CHILDCARE AND EARLY LEARNING CENTRE","10-14 PALMERSTON ST","ST JAMES",WA,6102,13/02/2019,
PR-40018203,,"OBO CO. PTY LTD",,"40 Thelma St",COMO,WA,6152,17/01/2019,
PR-40018211,,"Happy Tone Education and Service Group Pty Ltd","Happy Tone Children's Wonderland","19B Reddington Way",BRENTWOOD,WA,6153,06/12/2018,
PR-40018251,,"RIGHTWAY LEARNING FAMILY DAY CARE PTY LTD","RIGHTWAY LEARNING FAMILY DAY CARE PTY LTD","26 Plender Road",CAVERSHAM,WA,6055,05/02/2019,
PR-40018339,,"De Hoff Pty Ltd","Mini Bambini","10 Decora Ct",WANNEROO,WA,6065,27/03/2019,
PR-40018379,,"Young Plus Group Pty Ltd","Bubbleville Academy","266 Oxford St",LEEDERVILLE,WA,6007,07/03/2019,
PR-40018592,,"LOCHAM ENTERPRISES PTY LTD","Kensington Montessori Early Learning Centre","57 Albatross Loop","BENNETT SPRINGS",WA,6063,07/03/2019,
PR-40018757,,"Ektos Pty Ltd atf Ektos Unit Trust","Ektos Pty Ltd atf Ektos Unit Trust","PO Box 145",Nedlands,WA,6009,29/03/2019,
PR-40002660,,"PLAYFUL LEARNERS PTY LTD",,"18 Quincy Loop",ILUKA,WA,6028,29/10/2014,
PR-40002707,,"French School of Perth Pty Ltd as Trustee for The Gault Family Trust","French School of Perth Pty Ltd as Trustee for The Gault Family Trust","18 Sellars Way","BULL CREEK",WA,6149,06/01/2015,
PR-40002798,,"Family Tree (WA) Pty Ltd",,"173 Gaebler Rd","AUBIN GROVE",WA,6164,05/12/2014,
PR-40006565,,"Surtees Nominees Pty Ltd ATF Alcama Trust","Olive Grove Centre of Early Learning","8 Carmine Cl","SOUTHERN RIVER",WA,6110,03/03/2016,
PR-40006575,,"Amy Marie Short","Our Place Out of School Hours Care & Pre-Kindy","U 1  29-31 Dixon Rd",ROCKINGHAM,WA,6168,02/02/2016,
PR-40006645,,"Callie Dee Fort ATF The Indge Family Trust",,"92 Canterbury Tce","EAST VICTORIA PARK",WA,6101,22/01/2016,
PR-40006879,,"Fox and Gordon Pty Ltd","Montessori Early Years Learning and Care Centre","3 High St",DAMPIER,WA,6713,01/03/2016,
PR-40007009,,"EDUCCARE PTY LTD",,"11 Woolwich Cl",KALLAROO,WA,6025,25/05/2016,
PR-40007242,,"Kids Active Pty Ltd","Kids Active","21 Welbeck Road","CANNING VALE",WA,6155,19/04/2016,"In addition to compliance with the prescribed educator to child ratio set out in regulation 123 of the Education and Care Service National Regulations 2012 (Regulations), the approved provider must ensure that a minimum ratio of 1 educator to 7 children is maintained at all times for all excursions, as defined in the Regulations and including during the transportation of children to and from the service for the purpose of an excursion, across all services.

"
PR-40007461,,"Lynette Hill","LM Hill","PO Box 206",WYNDHAM,WA,6740,03/05/2016,
PR-00010077,,"BUTLER EARLY LEARNING PTY LTD","BUTLER EARLY LEARNING PTY LTD","Unit 45, 57 Joondalup Drive",EDGEWATER,WA,6027,05/11/2024,
PR-00010113,,"ANR GROUP PTY LTD","MindChamps Early Learning","33 MARTINICH DR",CAVERSHAM,WA,6055,12/02/2025,
PR-00010123,,"FINASURE PTY LTD",,"113B HAMPTON RD","SOUTH FREMANTLE",WA,6162,13/01/2025,
PR-00010176,,"Read 2 Grow 2 Pty Ltd ATF Read 2 Grow Unit Trust No 2","Read 2 Grow Early Learning Child Care Centre","158 COAST RD",DAYTON,WA,6055,26/11/2024,
PR-00010209,,"REGIONAL DISABILITY SERVICES AUSTRALIA PTY LTD","Patches Australia","HOMEBASE WEMBLEY, 55 SALVADO RD",SUBIACO,WA,6008,02/01/2025,
PR-00010213,,"ELOPURA CARE PTY LTD",TBC,"20B TROY ST",APPLECROSS,WA,6153,31/01/2025,
PR-00010226,,"ZAYDON GROUP PTY LTD",,"12 JERSEY ST",NARROGIN,WA,6312,02/01/2025,
PR-00010231,,"VAN HERK CORPORATION PTY LTD",,"11 BOXGUM LINK",WANNANUP,WA,6210,08/01/2025,
PR-00010244,,"AMARA EARLY LEARNING CENTRE 1 PTY LTD",,"LEVEL 1 308 FITZGERALD ST",PERTH,WA,6000,19/12/2024,
PR-00010255,,"GERARD V PETER PTY LTD ATF GVPeter Family Trust","Gerard V Peter Pty Ltd","27 PHILADELPHIA PDE","CANNING VALE",WA,6155,07/02/2025,
PR-00010275,,"LEI-GRIGSON PTY LTD","Mindchamps Early Education","10 HARMONY AV",CLARKSON,WA,6030,26/02/2025,
PR-00010278,,"TEDDINGTON BEARS ELC PTY LTD","Teddington Bears Early Learning Centre","4 LOCKE CR","EAST FREMANTLE",WA,6158,17/01/2025,
PR-00010281,,"BEVERLY GROUP 2 PTY LTD","The Akidamy School of Early Learning - Mount Hawthorn","10 BEVERLEY ST",COOLBINIA,WA,6050,20/12/2024,
PR-00010285,,"CHILDREN FAMILY FUTURE PTY LTD","Skylar Early Learning Pioneer Road","67 DAVID ST","SPENCER PARK",WA,6330,17/01/2025,
PR-00010313,,"HAIKU EARLY LEARNING MADDINGTON PTY LTD","Haiku Early Learning Maddington","7 RAPHAEL RISE",LANDSDALE,WA,6065,13/01/2025,
PR-40022201,,"Weston (WA) Subdivision Pty Ltd ATF The Weston Trust","Bee on Hadfield","40 Beach Rd",DUNSBOROUGH,WA,6281,12/03/2020,
PR-40022368,,"Cuddles Childcare Centre Byford Pty Ltd","Cuddles Early Learning & Childcare Byford","4 Warrington Road",BYFORD,WA,6122,16/03/2020,
PR-40022371,,"Village School Association Inc","Pioneer Village school","Pioneer Village School, 7 Albany Hwy",ARMADALE,WA,6112,26/06/2020,
PR-40022621,,"A.L TALMAGE & J.E TALMAGE","Skylar Early Childhood Education & Care","531 Surrey Downs Rd",PORONGURUP,WA,6324,19/05/2020,
PR-40022697,,"KOOLANGA PTY LTD","Koolanga Pty Ltd","8 Coldlake Court",JOONDALUP,WA,6027,18/03/2020,
PR-00007186,,"A1 Fun Pty Ltd","A1 Fun Pty Ltd","PO Box 3253",MANDURAH,WA,6210,01/08/2012,
PR-00007187,,"AALUBRE Pty Ltd","AALUBRE Pty Ltd","41 Nyandi Court",THORNLIE,WA,6108,01/08/2012,
PR-00007188,,"About Child Care Pty Ltd","About Child Care Pty Ltd","P.O. Box 3253",MANDURAH,WA,6210,01/08/2012,
PR-00007189,,"ABWEH Pty Ltd","ABWEH Pty Ltd","271-273 Ewen Street",WOODLANDS,WA,6018,01/08/2012,
PR-00007190,,"Acacia Hill Pty Ltd","Acacia Hill Pty Ltd","U 34  10 Geddes Street",BALCATTA,WA,6021,01/08/2012,
PR-00007193,,"Albany Occasional Child Care Centre Inc","Albany Occasional Child Care Centre Inc","Cnr Collie & Vancouver St",ALBANY,WA,6330,01/08/2012,
PR-00007194,,"Aldabuilda Pty Ltd atf The Broadbent Family Trust","Aldabuilda Pty Ltd","7 Lynwood Avenue",LYNWOOD,WA,6148,01/08/2012,
PR-00007196,,"All Saints' College Inc.","All Saints' College Inc.","PO Box 165",WILLETTON,WA,6955,01/08/2012,
PR-00007198,,"Annie's Angels Play and Development Centre Pty Ltd","Annie's Angels Play and Development Centre Pty Ltd","PO Box 205",HARVEY,WA,6220,01/08/2012,
PR-00007205,,"B.A. & K.S. Roberts Pty Ltd","B.A. & K.S. Roberts Pty Ltd","36-38 Wyperfield Gardens",BALLAJURA,WA,6066,01/08/2012,
