"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006055,,"Community Child Care Centre at Flinders Medical Centre","Community Child Care Centre at Flinders Medical Centre","Flinders Medical Centre, Flinders Drive","BEDFORD PARK",SA,5042,01/01/2012,
PR-00006056,,"Community Child Care Centre Inc","Community Child Care Centre Inc","110 Young Street",PARKSIDE,SA,5063,01/01/2012,
PR-00006058,,"Conyngham Street Community Children's Centre Inc","Conyngham Street Community Children's Centre Inc","34 Conyngham Street",GLENSIDE,SA,5065,01/01/2012,
PR-00006059,,"Coober Pedy Area School Council Inc","Coober Pedy Area School Council Inc","PO Box 353, Paxton Road","COOBER PEDY",SA,5723,01/01/2012,
PR-00006061,,"Coromandel Valley Primary School Council Inc","Coromandel Valley Primary School Council Inc","339 Main Rd","COROMANDEL VALLEY",SA,5051,01/01/2012,
PR-00006062,,"Cowandilla Primary School Council Inc","Cowandilla Primary School Council Inc","21 Jenkins St",COWANDILLA,SA,5033,01/01/2012,
PR-00006064,,"Craigburn Primary School Council Inc","Craigburn Primary School Council Inc","Craigburn Primary School, 15 Murrays Hill Rd","FLAGSTAFF HILL",SA,5159,01/01/2012,
PR-00006065,,"Hope Christian College Inc","Hope Christian College","213 Yorktown Road",CRAIGMORE,SA,5114,01/01/2012,
PR-00006069,,"Department for Education","Department for Education","GPO Box 1152",ADELAIDE,SA,5001,01/01/2012,
PR-00006071,,"Dernancourt School R-7 Council Inc","Dernancourt School R-7 Council Inc","29 Parsons Rd",DERNANCOURT,SA,5075,01/01/2012,
PR-00006073,,"Diagonal Road Community Children's Centre Incorporated","Diagonal Road Community Children's Centre Incorporated","PO Box 115","OAKLANDS PARK",SA,5046,01/01/2012,
PR-00006074,,"District Council of Coober Pedy","District Council of Coober Pedy","Po Box 392","COOBER PEDY",SA,5723,01/01/2012,
PR-00006076,,"Eagleton and Gwatking Pty Ltd","Eagleton and Gwatking Pty Ltd","234 Pimpala Road",WOODCROFT,SA,5162,01/01/2012,
PR-00006077,,"Early Steps Group Pty Ltd","Early Steps Group Pty Ltd","346-348 Montague Rd","PARA VISTA",SA,5093,01/01/2012,
PR-00006078,,"East Adelaide Primary School Council Inc","East Adelaide Primary School Council Inc","57-59 SECOND AV","ST PETERS",SA,5069,01/01/2012,
PR-00006079,,"East Marden Primary School Council Inc","East Marden Primary School Council Inc","East Marden Primary School, 43 James St",CAMPBELLTOWN,SA,5074,01/01/2012,
PR-00006080,,"East Para Primary School Council Inc","East Para Primary School Council Inc","Para Hills East Primary School, PO Box 76","PARA HILLS",SA,5096,01/01/2012,
PR-00006081,,"East Torrens Primary School Council","East Torrens Primary School Council","EAST TORRENS PRIMARY SCHOOL, 12 ROBSON RD",HECTORVILLE,SA,5073,01/01/2012,
PR-00006082,,"Echunga Primary School Council Inc","Echunga Primary School Council Inc","802 Echunga Rd",ECHUNGA,SA,5153,01/01/2012,
PR-00006085,,"Edwardstown Primary School Council","Edwardstown Primary School Council","1 Maria St","MELROSE PARK",SA,5039,01/01/2012,
PR-00006087,,"Elizabeth Grove Primary School Council","Elizabeth Grove Primary School Council","Elizabeth Grove Primary School, 20 Haynes St","ELIZABETH GROVE",SA,5112,01/01/2012,
PR-00006088,,"Elizabeth North Primary School Council","Elizabeth North Primary School Council","Woodford Rd","ELIZABETH NORTH",SA,5113,01/01/2012,
PR-00006090,,"EMALI CHILDCARE PTY LTD","Emali Childcare Pty Ltd","GPO Box 2801",ADELAIDE,SA,5001,01/01/2012,
PR-00006092,,"Emu Community Children's Centre Inc","Emu Community Children's Centre Inc","52 Wheatsheaf Road","MORPHETT VALE",SA,5162,01/01/2012,
PR-00006093,,"Encounter Lutheran College Inc","Encounter Lutheran College Inc","64 Adelaide Road","VICTOR HARBOR",SA,5211,01/01/2012,
PR-00006095,,"Evansle Pty Ltd","Evansle Pty Ltd","40 Mabel Street",STIRLING,SA,5152,01/01/2012,
PR-00006098,,"First Steps (SA) Pty Ltd","First Steps (SA) Pty Ltd","13 Rosemary Street","WOODVILLE WEST",SA,5011,01/01/2012,
PR-00006100,,"Flagstaff Hill Primary School Council Inc","Flagstaff Hill Primary School Council Inc","145 Black Road","FLAGSTAFF HILL",SA,5159,01/01/2012,
PR-00006101,,"Flaxmill School (P-7) Governing Council","Flaxmill School (P-7) Governing Council","80 Flaxmill Road","MORPHETT VALE",SA,5162,01/01/2012,
PR-00006103,,"Flinders Park Primary School Council Inc","Flinders Park Primary School Council Inc","70 Holbrooks Road, Flinders Park,","FLINDERS PARK - SA",SA,5025,01/01/2012,
PR-00006104,,"Flinders University Child Care Centre Inc","Flinders University Child Care Centre Inc","Sturt Drive","BEDFORD PARK",SA,5042,01/01/2012,
PR-00006105,,"Forbes Children's Centre (Childcare)","Forbes Children's Centre (Childcare)","80 Thomas Street","SOUTH PLYMPTON",SA,5038,01/01/2012,
PR-00006106,,"Forbes Primary Schools Council Inc","Forbes Primary Schools Council Inc","Forbes Primary School, 80 Thomas Street","SOUTH PLYMPTON",SA,5038,01/01/2012,
PR-00006107,,"Freeling Primary School Council Inc","Freeling Primary School Council Inc","PO Box 82",FREELING,SA,5372,01/01/2012,
PR-00006108,,"Fuzz - Baby P/L AFT Caran Trading Trust","Fuzz - Baby P/L AFT Caran Trading Trust","50 Beaufort Street","WOODVILLE PARK",SA,5011,01/01/2012,
PR-00006111,,"Montessori Children's Centre Royal Park Pty Ltd","Ms Kera Gardiner","PO Box 2173","MAGILL NORTH",SA,5072,01/01/2012,
PR-00006112,,"Gawler Community Child Care Centre Inc","Gawler Community Child Care Centre Inc","46 CALTON RD","GAWLER EAST",SA,5118,01/01/2012,
PR-00006114,,"Gilles Street Primary School Council Inc","Gilles Street Primary School Council Inc","91-93 GILLES ST",ADELAIDE,SA,5000,01/01/2012,
PR-00006115,,"Glen Osmond Primary School Council Inc","Glen Osmond Primary School Council Inc","5-7 Fisher St","MYRTLE BANK",SA,5064,01/01/2012,
PR-00006116,,"Glenelg Community Child Care Centre Inc","Glenelg Community Child Care Centre Inc","28 Kibby Avenue","GLENELG NORTH",SA,5045,01/01/2012,
PR-00006117,,"Glenelg Primary School Council Inc","Glenelg Primary School Council Inc","1 Diagonal Rd","GLENELG EAST",SA,5045,01/01/2012,
PR-00006118,,"Golden Grove Homestead Community Child Care Centre Inc","Golden Grove Homestead Community Child Care Centre Inc","1 Erudite Ct","GOLDEN GROVE",SA,5125,01/01/2012,
PR-00006119,,"Golden Grove Lutheran School","Golden Grove Lutheran School","21 - 23 Richardson Drive","WYNN VALE",SA,5127,01/01/2012,
PR-00006120,,"Golden Grove Primary School Council Inc","Golden Grove Primary School Council Inc","140 Bicentennial Drive","GOLDEN GROVE",SA,5125,01/01/2012,
PR-00006121,,"Good Shepherd Lutheran School Angaston","Good Shepherd Lutheran School Angaston","7 Neldner Street",ANGASTON,SA,5353,01/01/2012,
PR-00006122,,"Good Shepherd Lutheran School Para Vista Inc","Good Shepherd Lutheran School Para Vista Inc","388 Montague Rd","PARA VISTA",SA,5093,01/01/2012,
PR-00006124,,"Goodwood Community Child Care Centre Inc","Goodwood Community Child Care Centre Inc","31 Rosa Street",GOODWOOD,SA,5034,01/01/2012,
PR-00006125,,"Goodwood Primary School Council Inc","Goodwood Primary School Council Inc","Goodwood Primary School, 140 Goodwood Rd",GOODWOOD,SA,5034,01/01/2012,
PR-00006126,,"Grange Primary School Council Inc","Grange Primary School Council","39C Jetty Street",GRANGE,SA,5022,01/01/2012,
PR-00006127,,"Greenwith Child Care Centre Pty Ltd","Greenwith Child Care Centre Pty Ltd","1699 Golden Grove Road",GREENWITH,SA,5125,01/01/2012,
PR-00006128,,"Hardeake Pty Ltd","Hardeake Pty Ltd","151 Sturt Road","DOVER GARDENS",SA,5048,01/01/2012,
PR-00006129,,"Gulfview Heights Primary School Governing Council Inc","Gulfview Heights Primary School Governing Council Inc","39 Kiekebusch Road","GULFVIEW HEIGHTS",SA,5096,01/01/2012,
PR-00006130,,"Gumeracha Primary School Council Inc","Gumeracha Primary School Council Inc","Gumeracha Primary School, 1 Albert St",GUMERACHA,SA,5233,01/01/2012,
PR-00006131,,"Hackham East School Council","Hackham East School Council","642 Collins Pde",HACKHAM,SA,5163,01/01/2012,
PR-00006132,,"Hackham West Children's Centre Inc","Hackham West Children's Centre Inc","9 Vintners Walk","HACKHAM WEST",SA,5163,01/01/2012,
PR-00006133,,"Hahndorf Primary School Council Inc","Hahndorf Primary School Council Inc","12 Church Street",HAHNDORF,SA,5245,01/01/2012,
PR-00006134,,"Hallett Cove Community Children's Centre Incorporated","Hallett Cove Community Children's Centre Incorporated","5 Ramrod Avenue","HALLETT COVE",SA,5158,01/01/2012,
PR-00006135,,"Hallett Cove East Primary School Council","Hallett Cove East Primary School Council","Hallett Cove East Primary Scho, 21-27 Quailo Ave","HALLETT COVE",SA,5158,01/01/2012,
PR-00006136,,"Hallett Cove School Council Inc","Hallett Cove School Council Inc","2-32 Gledsdale Road","HALLETT COVE",SA,5158,01/01/2012,
PR-00006137,,"Hallett Cove Sth Primary School Governing Council Inc","Hallett Cove South Primary School Governing Council Inc","Livonia Street","HALLET COVE",SA,5158,01/01/2012,
PR-00006138,,"Hampstead Primary School Council Inc","Hampstead Primary School Council Inc","Hampstead Primary School, 38-56 Muller Rd",GREENACRES,SA,5086,01/01/2012,
PR-00006139,,"WINDYBANKS CHILDCARE CENTRE PTY LTD","Alexandra Hands","82 Fairlie Dr","FLAGSTAFF HILL",SA,5159,01/01/2012,
PR-00006140,,"Happy Valley Community Children's Centre Inc","Happy Valley Community Children's Centre Inc","51B OAKRIDGE RD","ABERFOYLE PARK",SA,5159,01/01/2012,
PR-00006141,,"Happy Valley School Council Inc","Happy Valley School Council Inc","Happy Valley Primary School, 18 Education Rd","HAPPY VALLEY",SA,5159,01/01/2012,
PR-00006142,,"Hawthorndene Primary School Council Inc","Hawthorndene Primary School Council Inc","Hawthorndene Primary School, Suffolk Rd",HAWTHORNDENE,SA,5051,01/01/2012,
PR-00006143,,"Hendon Primary School Governing Council Inc","Hendon Primary School Governing Council Inc","Cedar Ave","ROYAL PARK",SA,5014,01/01/2012,
PR-00006144,,"Hewett Primary School Governing Council","Hewett Primary School Governing Council","Kingfisher Drive",HEWETT,SA,5118,01/01/2012,
PR-00006145,,"Highbury Primary School Council Inc","Highbury Primary School Council Inc","Highbury Primary School, 1 Payne St","HOPE VALLEY",SA,5090,01/01/2012,
PR-00006146,,"Highgate School Council Inc","Highgate School Council Inc","4 Hempstead Avenue",HIGHGATE,SA,5063,01/01/2012,
PR-00006147,,"Hillbank Community Children's Centre Inc","Hillbank Community Children's Centre Inc","Penarth Court ",HILLBANK,SA,5112,01/01/2012,
PR-00006148,,"Hillcrest Primary School Council Inc","Hillcrest Primary School Council Inc","PO Box 207",GREENACRES,SA,5086,01/01/2012,
PR-00006150,,"HWJ ChildCare Services Pty Ltd","HWJ ChildCare Services Pty Ltd","16 Mornington Rd",UNLEY,SA,5061,01/01/2012,
PR-00006151,,"Il Nido Paradise Community Child Care Centre Inc","Il Nido Paradise Community Child Care Centre Inc","22 Campbell Road",PARADISE,SA,5075,01/01/2012,
PR-00006152,,"Ingle Farm East Primary School Council Inc","Ingle Farm East Primary School Council Inc","18 Halidon Street","INGLE FARM",SA,5098,01/01/2012,
PR-00006153,,"Ingle Farm Primary School Council Inc","Ingle Farm Primary School Council Inc","PO Box 423","INGLE FARM",SA,5098,01/01/2012,
PR-00006155,,"The Trustee for JAKANA CHILDCARE TRUST","Jakana Services Pty Ltd as Trustee for Jakana Childcare Trust","25 Boyd Crescent","WEST LAKES SHORE",SA,5020,01/01/2012,
PR-00006158,,"Randall Johncock","Mr Randall Johncock","7 Shiekie Place","WALKLEY HEIGHTS",SA,5098,01/01/2012,
