"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00005694,,"Chillingham Community Preschool Incorporated","Chillingham Community Preschool Incorporated","CHILLINGHAM PRESCHOOL, 1411 NUMINBAH RD",CHILLINGHAM,NSW,2484,01/09/2009,
PR-00005695,,"Kendall Community Pre School Inc","Kendall Community Pre School Inc","PO Box 63",KENDALL,NSW,2439,01/09/2009,
PR-00005696,,"CCA New South Wales Ltd","CCA New South Wales LTD","12 Lakeside Road",EASTWOOD,NSW,2122,01/09/2009,
PR-00005697,,"Happy Days Pre-School Pty Limited","Happy Days Pre-School Pty Limited","207 Harbour Drive","COFFS HARBOUR",NSW,2450,01/09/2009,
PR-00005700,,"Holsworthy Long Day & Occasional Child Care Centre Incorporated","Holsworthy Long Day & Occasional Child Care Centre Incorporated","2 Lighthorse Parade",HOLSWORTHY,NSW,2173,01/09/2009,
PR-00005704,,"Thirlmere Pegasus Early Education Centre Pty Ltd","Thirlmere Pegasus Early Education Centre Pty Ltd","PO Box 21",THIRLMERE,NSW,2572,01/09/2009,
PR-00005706,,"Wiradjuri Aboriginal Corporation Community & Childcare Centre","Wiradjuri Aboriginal Corporation Community & Childcare Centre","PO Box 5216","WAGGA WAGGA",NSW,2650,01/09/2009,
PR-00005708,,"Ulladulla Childrens' Centre Incorporated","Ulladulla Childrens' Centre Incorporated","PO Box 53",ULLADULLA,NSW,2539,01/09/2009,
PR-00005709,,"Sydney Early Education Centres ATF Wilson Family Trust","Sydney Early Education Centres ATF Wilson Family Trust","PO Box 390",BEECROFT,NSW,2119,01/09/2009,
PR-00005710,,"Babyccino Pty Ltd","Babyccino Pty Ltd","7 Crawford Rd",BRIGHTON-LE-SANDS,NSW,2216,04/03/2010,
PR-00005713,,"Evans Head Pre-School Association Inc","Evans Head Pre-School Association Inc","1 Beech St","EVANS HEAD",NSW,2473,01/09/2009,
PR-00005714,,"Integricare Limited",Integricare,"1-17 Elsie St, Unit 8 Level 1",BURWOOD,NSW,2134,01/09/2009,
PR-00005715,,"Kiddies Hut Pty Ltd","Kiddies Hut Pty Ltd","11 PANORAMA DR","DIAMOND BEACH",NSW,2430,01/09/2009,
PR-00005718,,"Stroud Neighbourhood Childrens Coop Inc","Stroud Neighbourhood Childrens Coop Inc","8 Berkeley Street",STROUD,NSW,2425,01/09/2009,
PR-00005720,,"The Cubbyhouse Pre-School & Occasional Care Centre Inc","The Cubbyhouse Pre-School & Occasional Care Centre Inc","PO Box 88","MENAI CENTRAL",NSW,2234,01/09/2009,
PR-00005722,,"Toukley Pre-School Kindergarten Inc","Toukley Pre-School Kindergarten Inc","96 Evans Road",TOUKLEY,NSW,2263,01/09/2009,
PR-00005723,,"Valley Preschool Incorporated","Valley Preschool Incorporated","Orara Upper Public School, 770 Upper Orara Rd","UPPER ORARA",NSW,2450,01/09/2009,
PR-40006459,,"KATIE BRUCE","Sticks and Stones OSHC","28 Gyro Cl","RIDDELLS CREEK",VIC,3431,18/01/2016,
PR-40006475,,"Haddon Primary School Council","Haddon PS","Haddon Primary School, 398 Sago Hill Rd",HADDON,VIC,3351,23/03/2016,
PR-40006481,,"Freweyni Debretsion Kiflemariam",,"14 Mansfield St",STRATHPINE,QLD,4500,03/02/2016,
PR-40006484,,"Angelic Baby Pty Ltd ATF Angelic Baby Unit Trust",,"76 Longshore Drive","CLYDE NORTH",VIC,3978,20/04/2016,
PR-40006486,,"Little Kindy Pty Ltd","Little Kindy Pty Ltd","85D DARUKA RD","NORTH TAMWORTH",NSW,2340,08/01/2016,
PR-40006502,,"SUBHA BHARAT","MAGIC KIDS FAMILYDAYCARE","6 Royal Oaks Dr",TARNEIT,VIC,3029,30/08/2016,
PR-40006514,,"Meriam elhassan",,"240 McCormicks Rd",SKYE,VIC,3977,19/02/2016,
PR-40006518,,"Mother's Love Early Education & Childcare Service Ltd","Mother's Love Early Education & Childcare Service Ltd","12 Clarence St",BURWOOD,NSW,2134,11/01/2016,
PR-40006520,,"Cassnic Childcare Developments Pty Ltd",,"47-49 GLEN IRIS RD","GLEN IRIS",VIC,3146,08/03/2016,
PR-40006525,,"Luke Alan Harvey","Ace Tennis Group Coaching","14 Pristine Pl","DUNDOWRAN BEACH",QLD,4655,01/02/2016,
PR-40006537,,"Mighty One Pty Ltd","Mighty Kidz","203 GYMEA BAY RD","GYMEA BAY",NSW,2227,29/01/2016,
PR-40006555,,"HAKUNA MATATA CHILD CARE PTY. LTD.","Hakuna Matata Early Learning Centre","1 Globe Street",GLENFIELD,NSW,2167,08/01/2016,
PR-40006561,,"Exodust Pty Ltd as Trustee for Wellcare Unit Trust","Wellcare Family Daycare","22 Lakes Entrance",MEADOWBROOK,QLD,4131,17/06/2016,
PR-40006565,,"Surtees Nominees Pty Ltd ATF Alcama Trust","Olive Grove Centre of Early Learning","8 Carmine Cl","SOUTHERN RIVER",WA,6110,03/03/2016,
PR-40006575,,"Amy Marie Short","Our Place Out of School Hours Care & Pre-Kindy","U 1  29-31 Dixon Rd",ROCKINGHAM,WA,6168,02/02/2016,
PR-40006578,,"HIBA DALATI","HIBAS DAYCARE","948 Hume Hwy","BASS HILL",NSW,2197,29/02/2016,
PR-40006595,,"KENTHURST EARLY LEARNING CENTRE PTY LTD","KENTHURST EARLY LEARNING CENTRE","25a Harford Ave","EAST HILLS",NSW,2213,18/01/2016,
PR-40006598,,"LZ PTY LTD","Little Zak's Academy","PO BOX 1303",MEADOWBANK,NSW,2114,08/03/2016,
PR-40006601,,"Nova Star Childcare Pty Ltd",,"200 Chapel Hill Rd","CHAPEL HILL",QLD,4069,03/02/2016,
PR-40006626,,"Hashi Family Day Care Pty Ltd","Early Ages Family Day Care","29 HESELTINE PL",PALLARA,QLD,4110,07/03/2016,
PR-40006645,,"Callie Dee Fort ATF The Indge Family Trust",,"92 Canterbury Tce","EAST VICTORIA PARK",WA,6101,22/01/2016,
PR-40006652,,"Sunnyside Early Learning Centre Pty Ltd ATF Montessori Unit Trust","Wyndham Vale Montessori Centre","PO Box 4217","BURWOOD EAST",VIC,3151,30/05/2016,
PR-40006660,,"NINIGARTEN PTY LTD","NINIGARTEN CHILD CARE CENTRE","6 ANEMBO PL",EASTWOOD,NSW,2122,05/02/2016,
PR-40006668,,"THE QUINTESSENTIAL GROUP 1 PTY LTD","Gracelands Early Education Centre","7 Arnold Ave",KELLYVILLE,NSW,2155,01/03/2016,
PR-40006676,,"Maddingley Montessori Centre Pty Ltd as trustee for Maddingley Montessori Centre Unit Trust","Maddingley Montessori Centre","1/1 Hoylake Gr",MORNINGTON,VIC,3931,27/04/2016,
PR-40006706,,"Holistic Approach Business Development Pty Ltd","Holistic Approach Family Day Care Scheme","130 Phil Tunks Road","LEMON TREE",NSW,2259,02/02/2016,
PR-40006733,,"JK GILCHRIST PTY LTD","Chapter 1 EARLY LEARNING",,,,,01/03/2016,
PR-40006734,,"Taradale Holdings Pty Ltd","Montessori Pathways","120 Santa Monica Dr","AUGUSTINE HEIGHTS",QLD,4300,23/05/2016,
PR-40006750,,"Ayline Oshana","Chosen Family Daycare Service","8 Nottingham Cl",CRAIGIEBURN,VIC,3064,04/04/2016,
PR-40006756,,"Kalameli Tiai","Observe Learn & Apply FDC","19 Juniper St",HEATHWOOD,QLD,4110,09/03/2016,
PR-40006760,,"Timothy James Walsh","All Star KIds","U 4  7 Waverley Ave",IVANHOE,VIC,3079,20/04/2016,
PR-40006775,,"Angel's Paradise Wagga Pty Ltd ATF The APW Business Trust","Angel's Paradise Adaptive Montessori - Wagga","PO Box 830",CONCORD,NSW,2137,08/02/2016,
PR-40006778,,"BALL SLOAN ENTERPRISES PTY. LTD.","Bright Minds Early Learning Centre","U 502  10 Martin St","ST KILDA",VIC,3182,15/03/2016,
PR-40006784,,"Inspire Child Care Foundation Limited","Inspire Child Care","PO Box 388",KIAMA,NSW,2533,08/04/2016,
PR-40006793,,"DJ & AC Prentice","Free Spirit Childcare","29 Henty St",DUNKELD,VIC,3294,22/06/2016,
PR-40006799,,"TREKKAZ PTY. LTD.","Trekkaz Child care","138 Violet St",BENDIGO,VIC,3550,19/09/2016,
PR-40006805,,"EARLIEST PTY LTD",Earliest,"U 12  33 Murphy St","SOUTH YARRA",VIC,3141,23/03/2016,
PR-40006815,,"Little Beginners Family Day Care Pty Ltd",,"14 Brush Box Place",HEATHWOOD,QLD,4110,07/03/2016,
PR-40006829,,"Adelaide Early Learning Centre Pty Ltd","Adelaide Early Learning Centre Pty Ltd","L 1, 66 King William St",ADELAIDE,SA,5000,22/03/2016,
PR-40006843,,"Mt Gravatt Youth & Recreation Club Inc.","Mt Gravatt Youth & Recreation Club Sports Complex","3 Weedon Street",MANSFIELD,QLD,4122,04/07/2016,
PR-40006845,,"Pauline Flood","On Your Marks Childcare","6-8 Fitzpatrick St","OLD EROWAL BAY",NSW,2540,18/02/2016,
PR-40006846,,"Carers Link Pty Ltd","Carers Link","PO Box 620",WYNNUM,QLD,4178,20/12/2016,
PR-40006853,,"Little Rai of Sunshine Early Learning Centre Pty Ltd","Little Rai of Sunshine Early Learning Centre","178 Temoin St",NARROMINE,NSW,2821,15/06/2016,
PR-40006876,,"Sarah Morrison","Kids Tamworth","11 Darien Avenue",TAMWORTH,NSW,2340,24/02/2016,
PR-40006879,,"Fox and Gordon Pty Ltd","Montessori Early Years Learning and Care Centre","3 High St",DAMPIER,WA,6713,01/03/2016,
PR-40006913,,"REACH FOR THE STARS EARLY LEARNING CENTRES PTY LTD","REACH FOR THE STARS EARLY LEARNING CENTRES PTY LTD","PO Box 1131",ROSEBERY,NSW,1445,17/05/2016,
PR-40006925,,"Zhixia Sun",,"63 Water St",WAHROONGA,NSW,2076,03/03/2016,
PR-40006938,,"Creative Kiddies Pty Ltd ATF Creative Kiddies Trust","Creative Kiddies","95 Webster Rd",LURNEA,NSW,2170,07/03/2016,
PR-40006942,,"Niki Tsakalidis","Heroes and Champs Early Learning Centre","4 Athalie Rise",DOREEN,VIC,3754,27/04/2016,
PR-40006978,,"Samantha Maria O'Reilly","Sammy's Cherubs","1008 King Georges Rd",BLAKEHURST,NSW,2221,03/03/2016,
PR-40006989,,"The Brook Early Education and Care Pty Ltd","The Brook Early Education and Care","19 Suez Street","GORDON PARK",QLD,4031,18/05/2016,
PR-40006995,,"CHILDBIZ OPERATIONS PTY LTD","Nino Early Learning Adventures","PO Box 5145",BURNLEY,VIC,3121,19/10/2016,
PR-40007009,,"EDUCCARE PTY LTD",,"11 Woolwich Cl",KALLAROO,WA,6025,25/05/2016,
PR-40007030,,"Castle Hill Early Learning Centre Pty Ltd",,"PO Box 6564",NORWEST,NSW,2153,05/04/2016,
PR-40007040,,"Neema Nyandwi","Kids Friend Family Day Care","17-21 Lamberth Rd","REGENTS PARK",QLD,4118,09/03/2016,
PR-40007069,,"Fruitful Family Day Care Pty Ltd","FRUITFUL FAMILY DAY CARE PTY. LTD.","14 Mansfield St",STRATHPINE,QLD,4500,20/05/2016,
