"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40034825,,"HARBISON EARLY LEARNING PTY LTD",,"2 -10 Charlotte St",BURRADOO,NSW,2576,07/12/2023,
PR-40034890,,"LITTLE TS EARLY LEARNING PTY LTD","Little T's ELC","44 Northcott Street","SOUTH WENTWORTHVILLE",NSW,2145,05/12/2023,
PR-40034929,,"DYM FAMILY PTY LTD",,"CENTRAL PARK, UNIT 99 32-34 MONS RD",WESTMEAD,NSW,2145,30/11/2023,
PR-40034931,,"CREATIVE MINDS LEARNING ACADEMY PTY LTD","Creative Minds Learning Academy","26 Schulten St",MOOREBANK,NSW,2170,13/12/2023,
PR-40034934,,"Ivette Crabb-Inostroza","Mi casa Spanish lessons, The Enchanted label, Ivette's childminding service","8 Reid Ave","NORTH CURL CURL",NSW,2099,17/04/2024,
PR-40034956,,"WAVERLEY ACTION FOR YOUTH SERVICES",,"63a Wairoa Ave","NORTH BONDI",NSW,2026,14/02/2024,
PR-40035016,,"Stephanie Northam",Stephanie,"15A Cowan Road",TAREE,NSW,2430,28/11/2023,
PR-40035026,,"VATHSALYA SERVICES PTY LTD","Growin Steps FDC","104 Hawkesbury Rd",WESTMEAD,NSW,2145,29/05/2024,
PR-40035064,,"TAVANA GROUP PTY LTD","NEIGHBOURHOOD ELC","9 STUART AV",NORMANHURST,NSW,2076,07/12/2023,
PR-40035071,,"NENOS FDC SCHEME PTY LTD",,"23b Throsby Way",AMBARVALE,NSW,2560,12/06/2024,
PR-40035127,,"LIGHTHOUSE ACADEMY PTY LTD","Lighthouse Academy","23 Ivory Curl St","GREGORY HILLS",NSW,2557,30/11/2023,
PR-40035136,,"HOUDA HADDAD PTY LTD","Mini Graduates Early Learning Centre","8 McMahon Rd",YAGOONA,NSW,2199,23/11/2023,
PR-40035167,,"THARAWAL PRIMARY SCHOOL PARENTS AND CITIZENS ASSOCIATION","Tharawal Before and After School Care","Tharawal Before and After School Care, 70 Gerald Rd",ILLAWONG,NSW,2234,06/06/2024,
PR-40035168,,"DISCOVER AND LEARN ACADEMY PTY LTD","Discover and Learn Academy","38 Boora Boora Rd",KINCUMBER,NSW,2251,04/12/2023,
PR-40035227,,"GHAMA PTY LTD",,"9 Tancred Ave",KYEEMAGH,NSW,2216,11/03/2024,
